Frame 1/393, Overlap 0.846, Score 4.276, Time 0.342
Frame 2/393, Overlap 0.858, Score 3.714, Time 0.299
Frame 3/393, Overlap 0.849, Score 3.674, Time 0.294
Frame 4/393, Overlap 0.835, Score 3.535, Time 0.295
Frame 5/393, Overlap 0.881, Score 4.061, Time 0.293
Frame 6/393, Overlap 0.788, Score 3.524, Time 0.292
Frame 7/393, Overlap 0.801, Score 3.430, Time 0.297
Frame 8/393, Overlap 0.874, Score 3.575, Time 0.293
Frame 9/393, Overlap 0.877, Score 3.489, Time 0.292
Frame 10/393, Overlap 0.882, Score 3.629, Time 6.767
Frame 11/393, Overlap 0.859, Score 5.567, Time 0.294
Frame 12/393, Overlap 0.852, Score 5.332, Time 0.291
Frame 13/393, Overlap 0.817, Score 5.744, Time 0.291
Frame 14/393, Overlap 0.836, Score 5.026, Time 0.291
Frame 15/393, Overlap 0.842, Score 5.908, Time 0.289
Frame 16/393, Overlap 0.780, Score 5.331, Time 0.304
Frame 17/393, Overlap 0.789, Score 5.949, Time 0.294
Frame 18/393, Overlap 0.788, Score 5.322, Time 0.305
Frame 19/393, Overlap 0.778, Score 4.439, Time 0.290
Frame 20/393, Overlap 0.829, Score 5.179, Time 7.574
Frame 21/393, Overlap 0.786, Score 6.478, Time 0.343
Frame 22/393, Overlap 0.817, Score 6.816, Time 0.358
Frame 23/393, Overlap 0.744, Score 6.567, Time 0.327
Frame 24/393, Overlap 0.841, Score 6.430, Time 0.295
Frame 25/393, Overlap 0.866, Score 6.833, Time 0.335
Frame 26/393, Overlap 0.777, Score 7.060, Time 0.410
Frame 27/393, Overlap 0.818, Score 6.995, Time 0.290
Frame 28/393, Overlap 0.760, Score 7.275, Time 0.315
Frame 29/393, Overlap 0.761, Score 6.787, Time 0.328
Frame 30/393, Overlap 0.798, Score 7.124, Time 8.099
Frame 31/393, Overlap 0.822, Score 7.418, Time 0.330
Frame 32/393, Overlap 0.783, Score 7.562, Time 0.304
Frame 33/393, Overlap 0.829, Score 7.819, Time 0.338
Frame 34/393, Overlap 0.838, Score 7.947, Time 0.295
Frame 35/393, Overlap 0.849, Score 7.330, Time 0.308
Frame 36/393, Overlap 0.837, Score 7.701, Time 0.293
Frame 37/393, Overlap 0.802, Score 7.187, Time 0.306
Frame 38/393, Overlap 0.790, Score 7.117, Time 0.304
Frame 39/393, Overlap 0.838, Score 7.569, Time 0.315
Frame 40/393, Overlap 0.790, Score 7.506, Time 8.005
Frame 41/393, Overlap 0.754, Score 8.251, Time 0.315
Frame 42/393, Overlap 0.750, Score 8.246, Time 0.304
Frame 43/393, Overlap 0.779, Score 7.871, Time 0.356
Frame 44/393, Overlap 0.774, Score 7.464, Time 0.314
Frame 45/393, Overlap 0.725, Score 7.406, Time 0.318
Frame 46/393, Overlap 0.723, Score 7.825, Time 0.294
Frame 47/393, Overlap 0.744, Score 7.284, Time 0.293
Frame 48/393, Overlap 0.709, Score 7.487, Time 0.286
Frame 49/393, Overlap 0.766, Score 7.485, Time 0.322
Frame 50/393, Overlap 0.780, Score 8.182, Time 8.215
Frame 51/393, Overlap 0.702, Score 9.136, Time 0.379
Frame 52/393, Overlap 0.778, Score 9.057, Time 0.345
Frame 53/393, Overlap 0.778, Score 7.891, Time 0.308
Frame 54/393, Overlap 0.768, Score 7.354, Time 0.363
Frame 55/393, Overlap 0.778, Score 8.059, Time 0.306
Frame 56/393, Overlap 0.803, Score 8.032, Time 0.319
Frame 57/393, Overlap 0.753, Score 8.013, Time 0.306
Frame 58/393, Overlap 0.706, Score 8.276, Time 0.321
Frame 59/393, Overlap 0.764, Score 8.678, Time 0.303
Frame 60/393, Overlap 0.754, Score 8.596, Time 8.139
Frame 61/393, Overlap 0.845, Score 8.602, Time 0.303
Frame 62/393, Overlap 0.784, Score 8.545, Time 0.319
Frame 63/393, Overlap 0.800, Score 8.048, Time 0.349
Frame 64/393, Overlap 0.870, Score 8.851, Time 0.313
Frame 65/393, Overlap 0.874, Score 9.409, Time 0.310
